"Idioma Destino","Valor","Recurso","Arquivo","Caminho"
"Ingles","As solicitações se referem a um agrupamento de itens cuja aquisição foi solicitada em uma única ordem de compra. Por exemplo, a solicitação de compra ""1234"" é composta pelos itens: ""A"", ""B"" e ""C"". Os quantitativos referentes ao período selecionado são demonstrados à esquerda, enquanto os totalizadores para cada uma das situações demonstrados à direta, dando assim, uma noção da representatividade das informações apresentadas para o período em questão. As seguintes situações são destacadas:|• Em processamento: Enquanto estiverem vinculadas a um processo de negociação, independentemente da situação ao qual este processo se encontra e a solicitação não estiver encerrada.|• Não processadas: Enquanto não estiverem vinculadas a nenhum processo de negociação.|• Aguardando aprovação: Enquanto estiverem em aprovação, esperando por um aval para que possam ser vinculadas a um processo de negociação.|• Encerradas: Quando estiverem Encerradas.|• Canceladas: Quando estiverem canceladas. en-us","solicitationsDescription","messages.json","src\locales\resources\enUS\messages.json"
"Ingles","Em processamento en-us","inProcess","messages.json","src\locales\resources\enUS\messages.json"
"Ingles","Os totais de negociações para cada tipo em cada uma das situações são destacados neste quadro que, além desses totalizadores, também apresenta os respectivos valores negociados.|Os valores são apresentados da seguinte maneira:|• K ao final do número, representa os valores em milhares.|• M ao final do número, representa os valores em milhões.|• B ao final do número, representa os valores em bilhões.|• T ao final do número, representa os valores em trilhões.|Ou seja para um valor de  quinhentos e cinquenta milhões e oitocentos mil como 550.8M. O valor inteiro será apresentado no tooltip ao passar o cursor pelo valor desejado.|As seguintes situações são destacadas para as negociações: | • Aguardando aprovação: São àquelas cujas situações estejam encerrada para aprovação. A situação em questão desconsidera o filtro de Período, ou seja, sempre irá mostrar tudo que está pendente de aprovação independente da opção selecionada para a combo ""Período"". | • Em andamento: São àquelas cujas situações estejam em andamento, aos quais estejam em negociação. A situação em questão desconsidera o filtro de Período, ou seja, sempre irá mostrar tudo que está Em andamento independente da opção selecionada para a combo ""Período"". | • Em análise: São àquelas cujas situações estejam em análise, aos quais estejam sob avaliação de algum responsável. A situação em questão desconsidera o filtro de Período, ou seja, sempre irá mostrar tudo que está Em análise independente da opção selecionada para a combo ""Período"". | • Suspensas: São àquelas cujas situações estejam suspensa ou interrompida. A situação em questão desconsidera o filtro de Período, ou seja, sempre irá mostrar tudo que está Suspensa independente da opção selecionada para a combo ""Período"". | • Desertas: Todas as negociações encerradas e que não receberam nenhuma proposta de nenhum fornecedor para nenhum dos itens que compõem esta negociação. A situação em questão irá considerar o filtro de Período, ou seja, as negociações que estavam nessa situação no período selecionado na combo ""Período"" dos filtros do Dashboard. | • Encerradas: São àquelas cujas situações estejam encerrada, encerrada com pedido, encerrada para contraoferta, encerrada com contrato ou encerrada com catálogo. A situação em questão irá considerar o filtro de Período, ou seja, as negociações que estavam nessa situação no período selecionado na combo ""Período"" dos filtros do Dashboard. en-us","negotiationDescription","messages.json","src\locales\resources\enUS\messages.json"
"Ingles","As informações das situações de pedidos são: | • Em Configuração: Quantidade de pedidos e dos itens que os compõem, sob situação em configuração e em processo de alteração. A situação em questão irá considerar a data de criação do pedido para realizar o filtro de Período, ou seja, os pedidos que estão em andamento e que foram criados no período selecionado na combo ""Período"" dos filtros do Dashboard. | • Confirmados: Quantidade de pedidos e dos itens que os compõem, sob situação faturado, confirmado, confirmado com baixa, confirmado com entrega parcelada, confirmado com entrega total ou confirmado com entrega parcial. A situação em questão irá considerar a data de criação do pedido para realizar o filtro de Período, ou seja, os pedidos que estão em andamento e que foram criados no período selecionado na combo ""Período"" dos filtros do Dashboard. | • Em aprovação: Quantidade de pedidos e dos itens que os compõem, sob situação em aprovação. A situação em questão irá considerar a data de criação do pedido para realizar o filtro de Período, ou seja, os pedidos que estão em andamento e que foram criados no período selecionado na combo ""Período"" dos filtros do Dashboard. | • A confirmar: Quantidade de pedidos e dos itens que os compõem, sob situação em confirmação. A situação em questão irá considerar a data de criação do pedido para realizar o filtro de Período, ou seja, os pedidos que estão em andamento e que foram criados no período selecionado na combo ""Período"" dos filtros do Dashboard. | • Cancelados: Quantidade de pedidos e dos itens que os compõem, sob a situação cancelados, que estavam nessa situação no período selecionado na combo ""Período"" dos filtros do Dashboard. | O valor total (R$) apresentado para cada uma das situações já consideram o valor de frete imputado para cada pedido. en-us","orderDescription","messages.json","src\locales\resources\enUS\messages.json"
"Ingles","As seguintes situações referentes às entregas são apresentadas:|• Entregues totalmente: Quantidade de entrega de todos os itens dos pedidos confirmados. A situação em questão irá considerar o filtro de Período, ou seja, os itens entregues totalmente que mudaram para esta situação no período selecionado na combo ""Período"" dos filtros do Dashboard.|• Entregues parcialmente: Quantidade de entrega de todos os itens dos pedidos confirmados parcialmente. A situação em questão irá considerar o filtro de Período, ou seja, os itens entregues parcialmente que mudaram para esta situação no período selecionado na combo ""Período"" dos filtros do Dashboard.|• Previstas: Quantidade de entrega de todos os itens dos pedidos confirmados cujo haja, pelo menos, um item com data de entrega prevista superior ou igual ao dia de hoje e que ainda não tenha sua entrega confirmada. A situação em questão desconsidera o filtro de Período, ou seja, sempre irá mostrar todos os itens que estão ativos  independente da opção selecionada para a combo ""Período"".|• Atrasadas: Quantidade de entrega de todos os itens dos pedidos confirmados cujo haja, pelo menos, um item com data de entrega prevista inferior ao dia de hoje e que ainda não tenha sua entrega confirmada. A situação em questão desconsidera o filtro de Período, ou seja, sempre irá mostrar todos os itens que estão ativos  independente da opção selecionada para a combo ""Período"".|• Com alteração de entrega pendente: Quantidade de entrega de todos os itens dos pedidos em processo de alteração. A situação em questão desconsidera o filtro de Período, ou seja, sempre irá mostrar todos os itens que estão ativos  independente da opção selecionada para a combo ""Período"". en-us","deliveryDescription","messages.json","src\locales\resources\enUS\messages.json"
"Ingles","As requisições se referem a itens cuja necessidade de aquisição foi solicitada por algum responsável.|Os quantitativos referentes ao período selecionado são demonstrados à esquerda, enquanto os totalizadores para cada uma das situações demonstrados à direita, dando assim, uma noção da representatividade das informações apresentadas para o período em questão.|As seguintes situações são destacadas:|• Aguardando aprovação: Enquanto estiverem em aprovação, esperando por um aval para que possam ser vinculadas a um processo de negociação.|• Em processamento: Enquanto estiverem vinculadas a um processo de negociação, independentemente da situação ao qual este processo se encontra e as requisições não estiverem encerradas.|• Não processadas: Enquanto não estiverem vinculadas a nenhum processo de negociação.|• Itens emergências: Estes itens são destacados separadamente, abaixo da linha do gráfico de não processadas, enquanto não estiverem vinculados a nenhum processo de negociação.|• Encerradas: Quando estiverem encerradas.|• Canceladas: Quando estiverem canceladas. en-us","itemDescription","messages.json","src\locales\resources\enUS\messages.json"
"Ingles","Num. processo en-us","processNumber","messages.json","src\locales\resources\enUS\messages.json"
"Ingles","Desculpe, o acesso a esta página não é permitido! en-us","noAccess","messages.json","src\locales\resources\enUS\messages.json"
"Ingles","Indicadores operacionais en-us","operationalIndicators","messages.json","src\locales\resources\enUS\messages.json"
"Espanhol (Espanha)","Em configuração es-es","inConfiguration","messages.json","src\locales\resources\enUS\messages.json"
